athlete_id,session_id,sensor_id,timestamp_s,distance_cm,time_to_wall_s,speed_mps,pace_s_per_25m,th_early_cm,th_urgent_cm,th_safety_cm,safe_class,optimal_threshold_cm
A007,S001,SENS03,66,260.7,2.47,1.057,23.65,192.0,131.4,76.0,Safe,101.4
A007,S001,SENS03,67,145.6,1.3,1.119,22.34,186.1,128.5,55.7,Warning,87.9
A007,S001,SENS03,68,48.1,0.48,1.009,24.79,188.0,137.9,56.4,Urgent,98.4
A007,S001,SENS03,69,2435.2,21.26,1.145,21.83,213.6,131.1,68.3,Safe,102.7
A007,S001,SENS03,70,2330.1,21.62,1.078,23.19,195.5,137.5,57.3,Safe,98.4
A007,S001,SENS03,71,2221.3,20.56,1.081,23.14,196.0,114.1,74.3,Safe,96.9
A007,S001,SENS03,72,2099.6,17.77,1.182,21.16,213.8,110.8,79.3,Safe,94.4
A007,S001,SENS03,73,1985.3,17.58,1.129,22.14,204.4,124.1,64.8,Safe,97.7
A007,S001,SENS03,74,1870.3,15.83,1.182,21.16,211.1,123.6,68.4,Safe,95.4
A007,S001,SENS03,75,1774.8,18.21,0.974,25.66,203.3,116.2,63.5,Safe,89.3
A007,S001,SENS03,76,1659.3,14.96,1.109,22.54,194.5,116.1,64.5,Safe,91.8
A007,S001,SENS03,77,1546.2,14.33,1.079,23.16,203.1,131.7,77.3,Safe,102.9
A007,S001,SENS03,78,1438.3,12.83,1.121,22.31,187.9,133.6,70.2,Safe,102.5
A007,S001,SENS03,79,1336.1,13.36,1.0,25.0,213.9,110.6,61.2,Safe,86.3
A007,S001,SENS03,80,1236.9,12.33,1.003,24.93,190.4,122.8,60.1,Safe,89.9
A007,S001,SENS03,81,1119.2,9.89,1.131,22.1,209.7,138.6,70.9,Safe,105.1
A007,S001,SENS03,82,1006.2,8.86,1.135,22.02,195.2,116.8,74.1,Safe,95.5
A007,S001,SENS03,83,897.4,8.2,1.095,22.84,210.7,122.2,77.5,Safe,98.4
A007,S001,SENS03,84,783.6,7.17,1.093,22.88,189.8,127.6,71.4,Safe,103.5
A007,S001,SENS03,85,679.7,6.46,1.052,23.77,205.0,121.7,72.7,Safe,100.7
A007,S001,SENS03,86,565.5,4.91,1.152,21.71,187.1,139.5,68.6,Safe,105.7
A007,S001,SENS03,87,459.4,4.3,1.067,23.42,206.1,138.1,76.7,Safe,106.3
A007,S001,SENS03,88,356.6,3.36,1.06,23.59,203.3,140.9,75.2,Safe,105.5
A007,S001,SENS03,89,236.8,2.04,1.158,21.59,209.9,123.8,74.6,Safe,100.2
A007,S001,SENS03,90,131.2,1.21,1.08,23.14,185.0,130.8,58.8,Warning,97.9
A007,S001,SENS03,91,21.1,0.19,1.096,22.81,211.0,136.2,61.2,Urgent,102.3
A007,S001,SENS03,92,2417.9,23.17,1.043,23.96,215.0,110.8,67.8,Safe,88.1
A007,S001,SENS03,93,2306.8,21.51,1.072,23.31,202.3,127.8,76.5,Safe,99.0
A007,S001,SENS03,94,2196.7,19.77,1.111,22.5,193.8,139.2,59.8,Safe,100.4
A007,S001,SENS03,95,2081.8,17.94,1.161,21.54,204.0,130.6,76.1,Safe,103.0
A007,S001,SENS03,96,1966.5,16.68,1.179,21.21,197.7,121.5,78.1,Safe,101.2
A007,S001,SENS03,97,1855.7,17.24,1.076,23.22,190.4,121.0,71.8,Safe,96.8
A007,S001,SENS03,98,1745.4,15.18,1.15,21.75,188.7,110.3,55.4,Safe,82.6
A007,S001,SENS03,99,1637.3,14.41,1.136,22.0,191.2,143.0,71.9,Safe,107.5
A007,S001,SENS03,100,1529.1,13.99,1.093,22.86,201.8,120.8,60.2,Safe,89.3
A007,S001,SENS03,101,1420.6,12.8,1.11,22.52,209.8,140.3,57.7,Safe,97.8
A007,S001,SENS03,102,1308.7,11.19,1.17,21.37,187.7,140.6,60.2,Safe,106.4
A007,S001,SENS03,103,1208.2,11.76,1.028,24.33,210.4,123.8,57.4,Safe,92.5
A007,S001,SENS03,104,1100.5,10.2,1.079,23.17,187.6,133.9,66.2,Safe,100.5
A007,S001,SENS03,105,994.3,9.14,1.088,22.99,194.8,114.4,56.3,Safe,85.3
A007,S001,SENS03,106,884.0,8.07,1.095,22.83,212.8,137.9,71.3,Safe,103.2
A007,S001,SENS03,107,774.2,7.18,1.079,23.18,197.5,112.2,70.1,Safe,88.3
A007,S001,SENS03,108,665.6,5.95,1.119,22.35,203.0,124.5,75.0,Safe,100.4
A007,S001,SENS03,109,552.6,4.69,1.178,21.23,192.4,117.1,57.3,Safe,86.8
A007,S001,SENS03,110,451.2,4.32,1.045,23.93,185.7,138.0,60.5,Safe,100.5
A007,S001,SENS03,111,346.0,3.29,1.053,23.75,208.3,144.4,62.0,Safe,104.8
A007,S001,SENS03,112,228.4,1.99,1.146,21.81,185.4,136.0,65.2,Safe,104.3
A007,S001,SENS03,113,129.7,1.28,1.015,24.63,213.2,117.8,59.5,Warning,90.7
A007,S001,SENS03,114,17.7,0.15,1.177,21.24,207.1,124.6,71.1,Urgent,97.7
A007,S001,SENS03,115,2405.5,22.0,1.093,22.87,194.1,113.9,57.5,Safe,87.1
A007,S001,SENS03,116,2293.9,21.1,1.087,23.0,206.5,135.7,69.0,Safe,103.6
A007,S001,SENS03,117,2191.8,21.07,1.04,24.03,186.4,112.4,66.5,Safe,89.2
A007,S001,SENS03,118,2081.5,18.66,1.116,22.41,204.6,132.7,66.0,Safe,100.7
A007,S001,SENS03,119,1974.2,18.61,1.061,23.56,194.9,134.6,71.5,Safe,103.0
A007,S001,SENS03,120,1863.6,16.07,1.16,21.56,205.7,140.4,79.3,Safe,112.2
A007,S001,SENS03,121,1756.0,15.97,1.099,22.74,214.8,142.0,65.0,Safe,103.3
A007,S001,SENS03,122,1642.6,14.76,1.113,22.46,199.9,116.3,79.1,Safe,96.7
A007,S001,SENS03,123,1538.2,14.58,1.055,23.7,207.6,132.6,72.9,Safe,101.1
A007,S001,SENS03,124,1438.1,14.53,0.989,25.27,192.0,142.3,68.7,Safe,107.6
A007,S001,SENS03,125,1335.6,13.39,0.998,25.06,200.7,130.7,65.7,Safe,100.4
A007,S001,SENS03,126,1237.9,12.3,1.006,24.84,192.0,126.5,79.3,Safe,103.3
A007,S001,SENS03,127,1124.0,9.83,1.143,21.87,214.6,116.4,56.0,Safe,87.6
A007,S001,SENS03,128,1009.1,9.08,1.111,22.5,203.8,120.4,67.1,Safe,92.9
A007,S001,SENS03,129,897.2,8.15,1.101,22.7,202.2,111.0,64.5,Safe,84.7
A007,S001,SENS03,130,797.4,7.74,1.03,24.27,197.1,115.1,76.1,Safe,93.9
A007,S001,SENS03,131,681.2,5.97,1.14,21.93,186.6,135.7,76.6,Safe,106.6
A007,S001,SENS03,132,562.8,4.87,1.155,21.64,207.7,110.8,55.3,Safe,83.4
A007,S001,SENS03,133,453.2,4.24,1.069,23.38,187.2,123.1,55.4,Safe,90.7
A007,S001,SENS03,134,340.8,3.15,1.081,23.13,214.0,126.4,75.7,Safe,99.3
A007,S001,SENS03,135,233.8,2.27,1.028,24.33,200.4,114.8,67.2,Safe,87.6
A007,S001,SENS03,136,124.5,1.13,1.103,22.66,200.3,131.6,70.4,Warning,100.3
A007,S001,SENS03,137,7.7,0.07,1.119,22.34,187.0,124.8,77.0,Urgent,101.1
A007,S001,SENS03,138,2406.1,23.54,1.022,24.46,193.0,140.3,60.6,Safe,99.2
A007,S001,SENS03,139,2302.1,22.48,1.024,24.42,207.3,140.6,74.2,Safe,108.6
A007,S001,SENS03,140,2202.4,22.44,0.982,25.47,191.9,139.0,76.6,Safe,106.7
A007,S001,SENS03,141,2103.9,21.1,0.997,25.07,186.6,134.0,78.5,Safe,105.1
A007,S001,SENS03,142,2005.1,20.41,0.982,25.45,197.1,141.6,58.4,Safe,100.6
A007,S001,SENS03,143,1892.9,17.55,1.079,23.17,198.3,118.7,62.8,Safe,93.9
A007,S001,SENS03,144,1782.6,15.51,1.149,21.76,199.3,140.8,58.2,Safe,99.4
A007,S001,SENS03,145,1674.8,14.93,1.122,22.29,214.9,143.5,57.5,Safe,100.7
A007,S001,SENS03,146,1576.6,15.49,1.018,24.55,193.7,124.5,63.5,Safe,95.2
A007,S001,SENS03,147,1478.3,14.97,0.988,25.31,198.3,138.5,59.9,Safe,102.8
A007,S001,SENS03,148,1371.1,12.97,1.057,23.66,205.2,121.3,79.7,Safe,100.1
A007,S001,SENS03,149,1269.6,12.3,1.032,24.22,211.8,121.7,63.4,Safe,92.0
A007,S001,SENS03,150,1169.6,11.21,1.043,23.96,214.1,112.7,75.1,Safe,94.7
A007,S001,SENS03,151,1054.8,9.63,1.096,22.82,186.9,140.6,68.2,Safe,102.6
A007,S001,SENS03,152,947.6,8.77,1.081,23.13,193.8,123.7,61.5,Safe,93.7
A007,S001,SENS03,153,837.9,7.53,1.112,22.48,209.5,116.5,79.3,Safe,98.1
A007,S001,SENS03,154,724.1,6.62,1.094,22.85,189.4,128.2,73.3,Safe,100.1
A007,S001,SENS03,155,612.6,5.31,1.153,21.68,209.0,117.7,74.3,Safe,96.2
A007,S001,SENS03,156,495.4,4.31,1.149,21.76,195.1,122.9,74.2,Safe,97.1
A007,S001,SENS03,157,387.7,3.53,1.097,22.78,190.0,115.7,58.1,Safe,85.6
A007,S001,SENS03,158,279.3,2.49,1.122,22.29,200.1,128.8,76.2,Safe,102.1
A007,S001,SENS03,159,170.1,1.57,1.084,23.06,187.0,125.0,65.5,Warning,94.2
A007,S001,SENS03,160,60.3,0.55,1.088,22.98,211.7,120.8,58.1,Urgent,88.6
A007,S001,SENS03,161,2461.9,26.07,0.944,26.47,199.0,136.5,75.3,Safe,107.6
A007,S001,SENS03,162,2353.5,22.77,1.033,24.19,210.5,117.1,78.7,Safe,97.9
A007,S001,SENS03,163,2253.3,22.44,1.004,24.89,203.4,124.5,56.4,Safe,88.2
A007,S001,SENS03,164,2158.1,21.67,0.996,25.1,201.7,118.0,66.5,Safe,91.4
A007,S001,SENS03,165,2048.7,19.64,1.043,23.96,193.8,140.4,78.2,Safe,108.3
A007,S001,SENS03,166,1944.5,17.9,1.086,23.01,188.9,123.6,62.7,Safe,92.9
A007,S001,SENS03,167,1832.6,16.94,1.081,23.12,200.9,126.3,71.2,Safe,100.1
A007,S001,SENS03,168,1729.8,16.45,1.051,23.78,190.1,141.5,55.3,Safe,102.1
A007,S001,SENS03,169,1623.3,15.72,1.033,24.21,203.5,144.5,62.9,Safe,104.2
A007,S001,SENS03,170,1511.9,13.89,1.089,22.96,198.7,114.0,66.4,Safe,90.9
A007,S001,SENS03,171,1400.1,12.44,1.125,22.21,203.8,132.1,74.9,Safe,104.5
A007,S001,SENS03,172,1287.6,12.0,1.073,23.3,200.2,143.1,75.3,Safe,107.4
A007,S001,SENS03,173,1186.6,11.86,1.0,24.99,209.9,140.2,76.4,Safe,108.3
A007,S001,SENS03,174,1081.4,9.94,1.088,22.97,188.4,142.2,71.4,Safe,103.4
A007,S001,SENS03,175,980.6,9.25,1.06,23.58,205.8,144.6,57.2,Safe,99.8
A007,S001,SENS03,176,877.9,8.17,1.074,23.27,189.0,118.5,61.3,Safe,91.5
A007,S001,SENS03,177,782.2,7.93,0.987,25.34,198.3,144.2,76.8,Safe,110.3
A007,S001,SENS03,178,669.8,6.12,1.094,22.85,200.0,115.1,68.0,Safe,92.9
A007,S001,SENS03,179,576.9,6.07,0.95,26.33,198.7,136.6,67.4,Safe,99.7
A007,S001,SENS03,180,472.4,4.51,1.048,23.86,196.9,134.7,71.2,Safe,104.1
A007,S001,SENS03,181,367.2,3.47,1.059,23.61,189.1,124.6,60.0,Safe,93.4
A007,S001,SENS03,182,260.9,2.4,1.088,22.98,186.6,121.2,66.8,Safe,93.2
A007,S001,SENS03,183,139.6,1.21,1.158,21.59,187.6,115.6,72.1,Warning,95.2
A007,S001,SENS03,184,28.1,0.25,1.122,22.28,196.0,122.8,79.4,Urgent,98.0
A007,S001,SENS03,185,2417.5,22.16,1.091,22.92,211.6,136.6,72.9,Safe,104.2
A007,S001,SENS03,186,2304.9,20.77,1.11,22.53,202.6,112.7,76.1,Safe,93.7
A007,S001,SENS03,187,2192.6,19.99,1.097,22.8,201.8,137.6,70.2,Safe,103.0
A007,S001,SENS03,188,2097.2,22.14,0.947,26.39,207.8,112.8,60.4,Safe,83.8
A007,S001,SENS03,189,1986.8,18.18,1.093,22.88,204.7,115.3,68.0,Safe,90.4
A007,S001,SENS03,190,1886.1,17.98,1.049,23.83,193.0,144.5,56.4,Safe,100.5
A007,S001,SENS03,191,1772.0,15.2,1.166,21.44,207.1,115.7,72.8,Safe,93.1
A007,S001,SENS03,192,1663.2,15.86,1.049,23.84,207.6,118.8,55.6,Safe,85.4
A007,S001,SENS03,193,1555.9,14.22,1.095,22.84,198.2,144.4,60.7,Safe,102.6
A007,S001,SENS03,194,1448.0,13.3,1.089,22.96,203.4,138.9,63.1,Safe,103.7
A007,S001,SENS03,195,1337.4,12.69,1.054,23.72,214.5,128.2,58.0,Safe,93.0
A007,S001,SENS03,196,1224.1,10.4,1.177,21.24,196.9,134.6,66.4,Safe,101.2
A007,S001,SENS03,197,1115.2,9.86,1.131,22.11,207.3,118.8,60.4,Safe,88.9
A007,S001,SENS03,198,1007.3,9.62,1.047,23.88,186.3,113.2,64.7,Safe,88.9
A007,S001,SENS03,199,898.8,8.25,1.09,22.95,197.2,131.1,64.7,Safe,99.3
A007,S001,SENS03,200,791.2,7.36,1.075,23.26,213.4,113.7,79.4,Safe,98.6
A007,S001,SENS03,201,690.3,6.59,1.048,23.86,186.2,127.9,59.9,Safe,95.4
A007,S001,SENS03,202,581.8,5.36,1.085,23.05,202.1,131.0,70.9,Safe,100.6
A007,S001,SENS03,203,468.3,4.06,1.154,21.66,201.2,118.6,72.9,Safe,94.6
A007,S001,SENS03,204,370.1,3.72,0.994,25.15,204.8,126.1,65.5,Safe,93.2
A007,S001,SENS03,205,260.6,2.37,1.1,22.73,213.8,114.5,57.1,Safe,86.9
A007,S001,SENS03,206,157.8,1.47,1.076,23.24,189.2,119.6,68.2,Warning,94.0
A007,S001,SENS03,207,56.8,0.54,1.052,23.76,192.8,113.7,66.3,Urgent,87.1
A007,S001,SENS03,208,2449.1,22.28,1.099,22.75,213.3,122.8,64.6,Safe,92.5
A007,S001,SENS03,209,2334.0,20.36,1.147,21.8,195.2,128.9,76.6,Safe,102.8
A007,S001,SENS03,210,2223.9,20.48,1.086,23.02,212.7,121.7,69.6,Safe,97.9
A007,S001,SENS03,211,2120.6,19.54,1.085,23.04,187.3,113.4,69.5,Safe,92.1
A007,S001,SENS03,212,2009.3,18.18,1.105,22.62,201.1,130.2,57.7,Safe,95.8
A007,S001,SENS03,213,1896.7,17.49,1.084,23.06,212.7,126.1,76.9,Safe,100.9
A007,S001,SENS03,214,1785.4,16.58,1.077,23.22,212.7,111.3,56.8,Safe,84.1
A007,S001,SENS03,215,1675.7,16.01,1.047,23.88,206.4,144.2,76.4,Safe,109.3
A007,S001,SENS03,216,1567.4,14.73,1.064,23.49,195.4,132.6,67.6,Safe,98.9
A007,S001,SENS03,217,1469.0,14.44,1.017,24.57,193.4,141.4,75.5,Safe,109.5
A007,S001,SENS03,218,1353.6,11.58,1.169,21.38,191.8,144.4,56.3,Safe,97.1
A007,S001,SENS03,219,1244.8,11.67,1.067,23.43,189.4,132.7,57.7,Safe,93.3
A007,S001,SENS03,220,1131.5,10.24,1.105,22.62,187.3,115.6,61.7,Safe,91.1
A007,S001,SENS03,221,1018.7,9.17,1.111,22.5,199.1,138.0,65.7,Safe,102.2
A007,S001,SENS03,222,919.9,8.94,1.029,24.31,214.5,141.4,67.0,Safe,100.6
A007,S001,SENS03,223,804.1,7.25,1.11,22.53,196.4,136.0,61.7,Safe,101.1
A007,S001,SENS03,224,698.5,6.53,1.069,23.39,208.0,141.1,59.6,Safe,99.9
A007,S001,SENS03,225,574.1,4.79,1.2,20.84,192.3,129.1,56.3,Safe,93.2
A007,S001,SENS03,226,470.9,4.46,1.057,23.66,201.0,114.5,59.2,Safe,84.5
A007,S001,SENS03,227,363.9,3.35,1.087,22.99,204.3,111.6,60.8,Safe,87.3
A007,S001,SENS03,228,245.0,2.16,1.134,22.04,191.8,122.3,68.5,Safe,95.8
A007,S001,SENS03,229,144.1,1.46,0.988,25.3,192.5,127.4,68.7,Warning,98.2
A007,S001,SENS03,230,49.1,0.51,0.969,25.8,187.5,135.0,58.4,Urgent,95.1
A007,S001,SENS03,231,2431.0,21.07,1.154,21.67,198.7,143.2,79.2,Safe,110.2
A007,S001,SENS03,232,2321.4,21.24,1.093,22.88,186.9,139.3,79.0,Safe,111.3
A007,S001,SENS03,233,2228.8,23.37,0.954,26.21,199.6,140.5,57.6,Safe,96.5
A007,S001,SENS03,234,2126.4,20.59,1.033,24.2,186.8,140.0,69.6,Safe,105.5
A007,S001,SENS03,235,2013.1,18.46,1.09,22.93,185.1,123.7,79.6,Safe,100.7
A007,S001,SENS03,236,1901.3,17.27,1.101,22.71,194.8,111.5,66.5,Safe,89.8
A007,S001,SENS03,237,1801.9,17.49,1.03,24.27,208.0,128.8,73.8,Safe,100.7
A007,S001,SENS03,238,1693.6,16.32,1.038,24.09,209.8,121.3,62.6,Safe,94.4
A007,S001,SENS03,239,1593.0,16.61,0.959,26.06,213.5,114.5,70.1,Safe,95.1
A007,S001,SENS03,240,1485.5,13.46,1.103,22.66,204.1,117.2,73.6,Safe,98.8
A007,S001,SENS03,241,1387.4,13.59,1.021,24.49,198.6,132.5,70.4,Safe,98.3
A007,S001,SENS03,242,1289.5,12.55,1.027,24.33,200.5,112.5,77.9,Safe,96.9
A007,S001,SENS03,243,1192.3,12.11,0.985,25.38,186.4,133.5,63.7,Safe,98.0
A007,S001,SENS03,244,1096.6,11.07,0.991,25.23,206.1,134.2,66.1,Safe,100.2
A007,S001,SENS03,245,993.4,9.92,1.002,24.96,205.5,138.6,56.3,Safe,98.0
A007,S001,SENS03,246,891.8,8.6,1.036,24.12,210.4,136.8,62.8,Safe,99.8
A007,S001,SENS03,247,789.8,7.87,1.004,24.91,208.7,115.4,80.0,Safe,96.6
A007,S001,SENS03,248,693.0,6.93,1.0,25.01,192.9,127.7,73.5,Safe,100.1
A007,S001,SENS03,249,586.1,5.6,1.047,23.87,199.0,123.4,57.3,Safe,89.7
A007,S001,SENS03,250,487.2,4.87,0.999,25.02,212.4,126.7,64.2,Safe,93.8
A007,S001,SENS03,251,394.1,4.15,0.949,26.36,189.5,130.0,78.8,Safe,103.1
A007,S001,SENS03,252,283.0,2.59,1.092,22.88,193.6,124.7,63.5,Safe,95.3
A007,S001,SENS03,253,188.6,2.01,0.938,26.65,194.5,142.5,70.8,Warning,108.0
A007,S001,SENS03,254,85.5,0.85,1.006,24.86,188.9,125.2,62.4,Urgent,93.5
A007,S001,SENS03,255,2470.0,22.32,1.107,22.59,188.1,121.1,59.0,Safe,91.9
A007,S001,SENS03,256,2366.5,23.46,1.009,24.78,205.4,122.1,69.6,Safe,95.0
A007,S001,SENS03,257,2263.1,21.09,1.073,23.3,207.0,115.1,61.5,Safe,88.1
A007,S001,SENS03,258,2160.1,20.81,1.038,24.09,186.1,140.1,55.2,Safe,97.9
A007,S001,SENS03,259,2064.0,21.73,0.95,26.32,189.9,140.7,68.7,Safe,104.2
A007,S001,SENS03,260,1976.4,21.71,0.91,27.46,189.3,133.0,63.1,Safe,95.6
A007,S001,SENS03,261,1879.0,19.59,0.959,26.07,212.2,128.5,68.1,Safe,98.5
A007,S001,SENS03,262,1773.1,17.2,1.031,24.26,211.9,124.1,62.5,Safe,92.8
A007,S001,SENS03,263,1673.0,16.1,1.039,24.06,204.9,144.3,60.0,Safe,105.8
A007,S001,SENS03,264,1563.6,14.04,1.114,22.45,199.5,115.3,59.9,Safe,89.4
A007,S001,SENS03,265,1455.2,13.43,1.083,23.08,199.5,133.2,75.7,Safe,105.8
A007,S001,SENS03,266,1349.8,12.93,1.044,23.94,206.4,132.8,75.0,Safe,102.6
A007,S001,SENS03,267,1246.6,11.94,1.044,23.94,214.2,137.5,74.4,Safe,105.2
A007,S001,SENS03,268,1136.2,10.69,1.063,23.51,192.9,113.5,74.0,Safe,93.9
A007,S001,SENS03,269,1041.0,10.43,0.998,25.04,211.5,114.9,55.6,Safe,89.4
A007,S001,SENS03,270,947.1,9.64,0.982,25.45,201.7,113.4,56.2,Safe,85.8
A007,S001,SENS03,271,829.4,7.28,1.139,21.95,200.9,113.2,78.9,Safe,98.5
A007,S001,SENS03,272,730.6,7.24,1.009,24.78,189.9,133.9,63.0,Safe,100.1
A007,S001,SENS03,273,627.3,6.16,1.018,24.56,211.8,132.5,66.8,Safe,98.8
A007,S001,SENS03,274,530.2,5.22,1.016,24.6,185.9,121.6,55.3,Safe,91.3
A007,S001,SENS03,275,438.9,4.57,0.961,26.02,210.6,142.5,70.0,Safe,104.9
A007,S001,SENS03,276,333.9,3.13,1.066,23.46,198.9,133.3,60.7,Safe,93.5
A007,S001,SENS03,277,226.8,2.21,1.028,24.32,190.7,144.5,77.9,Safe,110.1
A007,S001,SENS03,278,128.4,1.26,1.021,24.48,201.0,112.4,67.4,Warning,88.6
